"","participant","chooserandom_Instruction_1","chooserandom_Condition_1","chooserandom_Relevance_1","ID_Yapper_1","Anxiety_feelings_Pretest_1","Anxiety_feelings_Pretest_2","Anxiety_feelings_Pretest_3","Anxiety_feelings_Pretest_4","Anxiety_feelings_Pretest_5","Anxiety_feelings_Pretest_6","Anxiety_feelings_Pretest_7","Anxiety_feelings_Pretest_8","SoundCalibration_1","SoundProblem_1","count_Trial1_Irrelevant_1","Pleasure_Trial1_Irrelevant_1","Arousal_Trial1_Irrelevant_1","Control_Trial1_Irrelevant_1","count_Criticaltrial_Irrelevant_1","Pleasure_Criticaltrial_Irrelevant_1","Arousal_Criticaltrial_Irrelevant_1","Control_Criticaltrial_Irrelevant_1","IB_Criticaltrial_Irrelevant_1","IB_Feature_Criticaltrial_Irrelevant_1","IB_Color_Criticaltrial_Irrelevant_1","IB_Motion_Criticaltrial_Irrelevant_1","count_Dividedtrial_Irrelevant_1","Pleasure_Dividedtrial_Irrelevant_1","Arousal_Dividedtrial_Irrelevant_1","Control_Dividedtrial_Irrelevant_1","IB_Dividedtrial_Irrelevant_1","IB_Feature_Dividedtrial_Irrelevant_1","IB_Color_Dividedtrial_Irrelevant_1","IB_Motion_Dividedtrial_Irrelevant_1","IB_Fulltrial_Irrelevant_1","IB_Feature_Fulltrial_Irrelevant_1","IB_Color_Fulltrial_Irrelevant_1","IB_Motion_Fulltrial_Irrelevant_1","count_Trial1_Relevant_1","Pleasure_Trial1_Relevant_1","Arousal_Trial1_Relevant_1","Control_Trial1_Relevant_1","count_Criticaltrial_Relevant_1","Pleasure_Criticaltrial_Relevant_1","Arousal_Criticaltrial_Relevant_1","Control_Criticaltrial_Relevant_1","IB_Criticaltrial_Relevant_1","IB_Feature_Criticaltrial_Relevant_1","IB_Color_Criticaltrial_Relevant_1","IB_Motion_Criticaltrial_Relevant_1","count_Dividedtrial_Relevant_1","Pleasure_Dividedtrial_Relevant_1","Arousal_Dividedtrial_Relevant_1","Control_Dividedtrial_Relevant_1","IB_Dividedtrial_Relevant_1","IB_Feature_Dividedtrial_Relevant_1","IB_Color_Dividedtrial_Relevant_1","IB_Motion_Dividedtrial_Relevant_1","IB_Fulltrial_Relevant_1","IB_Feature_Fulltrial_Relevant_1","IB_Color_Fulltrial_Relevant_1","IB_Motion_Fulltrial_Relevant_1","Emotion_1","Emotion_2","Emotion_3","Emotion_4","Emotion_5","Emotion_6","Emotion_7","Emotion_8","Check_sound_1","Check_Uncomfort_1","Check_Volume_1","Connaissance_1","Connaissance_Task_1","Connaissance_IB_1","Subjective_SES_1","PESS_1","PESS_2","PESS_3","PESS_4","PESS_5","PESS_6","PESS_7","PESS_8","Pay_Distance_1","Household_Nb_1","Pay_Next_1","Pay_Month_1","Age_1","Gender_1","Town_Country_1","Town_Country_2","Writing_Script_1","Writing_Script_other","Etudes_1","CSP_1","CSP_other","Game_Feelings_1","TIME_start","TIME_end","TIME_total"
"11","s.a16af2b5-ae7a-4ecc-8fc4-d7796faf11ae.txt",2,1,2,"XXXX",1,1,5,1,3,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,2,8,16,1,4,4,1,3,2,4,16,1,6,3,1,3,2,4,1,3,2,2,1,2,2,1,3,5,2,2,2,NA,NA,2,1,1,7,1,2,1,1,1,2,2,4,20,2,"2400","5000",29,2,"CALUIRE ET CUIRE","FRANCE",1,NA,7,3,NA,"Rien de spécial","2023-10-09-08-36","2023-10-09-08-44",8
"12","s.178a6303-3a8c-4c3b-8516-191c0b200d18.txt",2,1,2,"XXXX",1,2,5,2,3,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,5,4,18,5,6,4,2,NA,NA,NA,15,4,6,4,2,NA,NA,NA,1,3,2,2,1,2,1,2,5,3,3,4,2,NA,NA,1,1,1,6,2,6,2,3,2,5,5,7,23,2,"1600","3600",30,1,"Arbent","France",1,NA,6,5,NA,"De la concentration","2023-09-05-20-21","2023-09-05-20-33",12
"13","s.69a96a50-c705-4727-aeb4-40b8b8b116a1.txt",1,2,1,"XXXX",1,1,5,1,1,7,1,1,2,NA,10,7,2,9,14,7,1,7,1,6,7,7,8,7,1,8,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,7,1,1,1,2,2,1,1,1,4,4,4,2,2,2,3,2,4,15,2,"1700","2500",50,2,"DONCHERY","FRANCE",1,NA,3,5,NA,"Je ne sais pas si j'ai vraiment tout vu ce que je devais voir, c'est peut-être à force d'être concentrer sur l'écran. Très bon test de visualisation","2023-09-10-08-57","2023-09-10-09-11",14
"14","s.67f1acf4-6dce-457a-a035-07acd84cda67.txt",1,1,1,"XXXX",1,1,6,1,1,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-15-21-50",NA,NA
"15","s.fa5482eb-e2a6-401a-9a2c-5ea113d1ce08.txt",2,2,1,"XXXX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-18-14-48",NA,NA
"16","s.9865f7f1-8e64-408f-9e73-56f43b83ba72.txt",1,1,1,"XXXX",1,1,4,1,1,7,1,1,3,NA,10,5,4,6,0,5,3,8,1,5,7,7,8,5,4,6,1,3,2,4,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,6,1,1,2,NA,NA,1,1,1,6,3,2,1,5,1,1,1,1,22,2,"1700","3300",49,1,"VIRIGNIN","France",1,NA,4,5,NA,"concentration","2023-10-06-13-38","2023-10-06-13-54",16
"17","s.3380192c-b3ae-4093-bc17-2a33e056b0e7.txt",1,2,1,"XXXX",2,3,2,5,6,3,5,4,3,NA,10,4,6,6,12,4,6,4,2,NA,NA,NA,8,5,5,6,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,5,6,2,6,6,1,1,2,1,1,1,4,6,6,5,7,4,6,6,6,19,1,"0","1600",28,2,NA,NA,1,NA,6,6,NA,"De l'interrogation","2023-09-10-09-38","2023-09-10-09-47",9
"18","s.d06997ba-a692-45e9-b631-f59acea1a203.txt",1,1,1,"XXXX",7,7,1,7,7,1,7,7,3,NA,16,3,7,3,13,4,7,2,1,1,2,2,11,3,8,3,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,7,7,1,7,7,1,1,2,1,1,1,6,7,1,7,7,7,7,7,7,15,3,"1300","1300",28,1,"Stains","France",2,"Anglais",6,5,NA,"Intéressant","2023-09-15-14-49","2023-09-15-14-55",6
"19","s.7127572a-ff02-472c-8f52-163bd1fe3b2a.txt",2,1,1,"XXXX",1,4,3,1,2,2,4,3,3,NA,11,6,6,9,12,6,4,9,2,NA,NA,NA,8,6,3,9,1,3,4,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,2,NA,NA,2,2,2,2,5,6,4,7,5,6,7,7,16,2,"1103",NA,24,1,"Saint-Denis","Reunion",1,NA,5,9,NA,NA,"2023-09-18-11-58","2023-09-18-12-18",20
"20","s.61a62c7c-79aa-4fae-9747-1be785d90840.txt",2,1,2,"XXXX",2,1,5,2,2,6,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,6,4,7,17,6,4,6,2,NA,NA,NA,16,6,4,7,2,NA,NA,NA,1,3,2,2,1,1,1,1,1,6,1,1,1,1,2,2,2,2,6,5,5,3,5,5,3,4,4,16,2,"600","600",40,2,"Antibes","France",1,NA,5,6,NA,"Calme","2023-09-15-14-30","2023-09-15-14-37",7
"21","s.e0d0e2b5-85a8-4e14-83a4-257bfa2d39ed.txt",2,1,2,"XXXX",1,5,2,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,3,6,15,6,3,6,1,3,2,2,17,5,5,6,2,NA,NA,NA,1,3,2,2,1,1,1,1,4,4,2,2,2,NA,NA,1,1,1,3,7,7,7,7,7,7,7,7,15,4,"1500","3000",36,2,"Le Coteau","france",1,NA,3,5,NA,"CUriositée, besoin de concentration","2023-10-18-09-42","2023-10-18-09-53",11
"22","s.506cea66-de33-4345-bff8-d6ea5b82c948.txt",1,2,2,"XXXX",5,4,4,5,5,3,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,5,4,18,3,6,4,2,NA,NA,NA,22,3,4,5,2,NA,NA,NA,1,3,4,2,1,1,2,1,5,3,4,3,1,2,2,1,2,1,7,3,4,1,2,1,2,4,1,24,5,"3200","5500",41,2,"BLOIS","FRANCE",1,NA,7,3,NA,"agacement lié aux sons","2023-09-05-11-15","2023-09-05-11-25",10
"23","s.45506956-4af7-4369-a38f-76e4239a9ec3.txt",1,2,2,"XXXX",4,4,3,5,3,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-06-15-59",NA,NA
"24","s.350a69b2-0ce4-47ed-9abe-fc31e14c5e55.txt",1,1,1,"XXXX",1,4,4,4,4,7,4,4,3,NA,10,5,1,9,11,4,3,9,2,NA,NA,NA,8,5,3,9,2,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,7,1,1,2,NA,NA,1,1,1,5,7,7,7,7,7,7,7,6,24,1,"540","540",53,2,"ugine","france",1,NA,3,9,NA,"rien de particulier, j'étais focalisé sur la tâche à effectuer","2023-09-08-15-28","2023-09-08-15-37",9
"25","s.281f577d-53c2-4b59-89a3-dd983b83a5ec.txt",1,1,1,"XXXX",1,1,4,1,1,6,1,1,3,NA,10,6,3,9,12,5,3,8,1,3,2,7,8,5,3,8,1,3,2,2,2,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,2,4,1,2,2,NA,NA,1,1,2,5,4,6,3,3,4,3,5,5,15,2,"1100","3000",38,1,"SAVENAY","FRANCE",1,NA,3,4,NA,"Je m'attendais à entendre des sons, ce qui m'a tenue en alerte, mais aucun son n'est apparu. Cela m'a perturbée.","2023-09-15-15-12","2023-09-15-15-27",15
"26","s.9d8ab664-1090-489c-9000-9f7c9de71293.txt",1,2,1,"XXXX",4,5,4,2,5,3,5,5,2,NA,10,4,4,7,12,4,4,7,2,NA,NA,NA,8,4,4,6,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,4,6,3,6,6,1,1,2,1,2,1,4,4,2,2,1,2,2,2,3,25,1,"2500","2500",52,2,"nice","france",1,NA,6,4,NA,"anxiété et stresse par les cris et la sirène","2023-09-05-19-24","2023-09-05-19-33",9
"27","s.f67c53cf-c893-4a16-a100-9319d622fcc4.txt",1,1,2,"XXXX",1,1,1,1,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-14-17-08",NA,NA
"28","s.90214cbb-0c42-418d-98de-0d3a34c1c8e0.txt",2,2,1,"XXXX",2,1,5,1,3,6,2,3,2,NA,12,3,7,4,12,5,4,6,1,3,4,2,8,6,2,7,1,3,4,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,6,5,4,3,1,1,1,1,1,1,6,2,5,2,4,4,2,4,5,5,4,"2100","1600",42,2,"Strasbourg","France",2,"Arabe",8,3,NA,"Désagréable en début avec les cris ensuiteau fur et a mésure, je me suis concentré sur la tache","2023-10-25-14-09","2023-10-25-14-21",12
"29","s.be7a29bf-cce9-4158-8b66-e536498463cc.txt",1,1,2,"XXXX",1,1,6,1,1,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-28-13-17",NA,NA
"30","s.7946e20d-8fde-49b9-8e66-9f854b95afe0.txt",1,2,2,"XXXX",1,5,4,6,1,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,5,3,11,5,4,5,2,NA,NA,NA,15,4,3,6,1,3,4,2,1,3,4,2,1,5,2,3,5,4,5,6,1,1,2,1,1,2,7,4,2,2,2,1,1,7,7,30,1,"250","4500",24,2,"Ozouer Le Voulgis","France",1,NA,3,9,NA,"Perplexe et malaisant.","2023-09-12-17-31","2023-09-12-17-42",11
"31","s.d95fdd2c-4632-430a-ac92-4ec3a134c2ca.txt",2,2,2,"XXXX",4,5,6,6,5,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,6,6,4,17,6,6,4,2,NA,NA,NA,16,6,6,4,2,NA,NA,NA,1,3,2,2,3,5,6,6,5,4,5,5,1,1,2,1,1,2,2,7,6,6,6,6,7,6,7,1,1,"534","534",31,2,"Limoges","France",1,NA,5,5,NA,"J'ai été stréssé.","2023-09-06-09-50","2023-09-06-10-00",10
"32","s.c8b77db8-1fc5-4774-ac2f-db9d064dc7f0.txt",1,2,2,"XXXX",4,5,5,4,5,2,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,6,4,15,3,7,4,2,NA,NA,NA,19,4,8,4,1,3,4,2,1,3,4,2,4,5,3,4,5,3,5,5,1,2,2,1,2,2,6,5,6,3,3,3,6,6,6,1,1,"1150","1150",37,1,"Colmar","France",1,NA,5,2,NA,"J'ai surtout ressenti du stress et une difficulté à me concentrer","2023-09-05-14-17","2023-09-05-14-29",12
"33","s.85e97798-f171-4ea2-a2d6-2e6845b18e6a.txt",2,1,1,"XXXX",1,1,1,1,1,7,1,1,3,NA,11,7,2,9,13,7,2,8,1,3,4,2,7,6,3,7,1,3,4,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,5,3,3,2,NA,NA,1,1,1,4,3,6,3,3,3,3,2,3,20,2,"1500","3000",34,2,"Trois Palis","France",1,NA,5,5,NA,"J'attendais d'entendre un son désagréable","2023-10-07-00-34","2023-10-07-00-46",12
"34","s.207071b5-9d7e-4310-aef1-f74be85d8dd8.txt",2,2,1,"XXXX",1,1,7,1,1,6,2,2,3,NA,27,4,6,6,12,8,3,7,1,3,2,5,8,9,2,9,1,3,4,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,4,4,1,1,1,1,1,2,7,3,5,1,6,1,4,5,4,20,3,"1800","1800",29,2,"Athis Mons","France",1,NA,8,3,NA,"Belle expérience avec de points ciblés sur mon attention.","2023-09-06-15-10","2023-09-06-15-25",15
